rho,avg_periods
5.489949748743716551e-01,1.693259999999999934e+02
5.585427135678391330e-01,1.630960000000000036e+02
5.680904522613063889e-01,1.562589999999999861e+02
5.776381909547738669e-01,1.493710000000000093e+02
5.871859296482411228e-01,1.426829999999999927e+02
5.967336683417083787e-01,1.372090000000000032e+02
6.062814070351758566e-01,1.306289999999999907e+02
6.158291457286431125e-01,1.222019999999999982e+02
6.253768844221103684e-01,1.146509999999999962e+02
6.349246231155778464e-01,1.076200000000000045e+02
6.444723618090451023e-01,1.016430000000000007e+02
6.540201005025123582e-01,9.625600000000000023e+01
6.635678391959798361e-01,9.268800000000000239e+01
6.731155778894470920e-01,8.776000000000000512e+01
6.826633165829143479e-01,8.364199999999999591e+01
6.922110552763818259e-01,7.874699999999999989e+01
7.017587939698490818e-01,7.601699999999999591e+01
7.113065326633165597e-01,7.120999999999999375e+01
7.208542713567838156e-01,6.694599999999999795e+01
7.304020100502510715e-01,6.302499999999999858e+01
7.399497487437185494e-01,5.887400000000000233e+01
7.494974874371858053e-01,5.642300000000000182e+01
7.590452261306530612e-01,5.258800000000000097e+01
7.685929648241205392e-01,4.858500000000000085e+01
7.781407035175877951e-01,4.464600000000000080e+01
7.876884422110550510e-01,4.186399999999999721e+01
7.972361809045225289e-01,3.886200000000000188e+01
8.067839195979897848e-01,3.644700000000000273e+01
8.163316582914570407e-01,3.367499999999999716e+01
8.258793969849245187e-01,3.187399999999999878e+01
8.354271356783917746e-01,2.931500000000000128e+01
8.449748743718592525e-01,2.690500000000000114e+01
8.545226130653265084e-01,2.445899999999999963e+01
8.640703517587937643e-01,2.274699999999999989e+01
8.736180904522612423e-01,2.163100000000000023e+01
8.831658291457284982e-01,1.926200000000000045e+01
8.927135678391957541e-01,1.849899999999999878e+01
9.022613065326632320e-01,1.731200000000000117e+01
9.118090452261304879e-01,1.645200000000000173e+01
9.213567839195977438e-01,1.585500000000000043e+01
9.309045226130652217e-01,1.500500000000000078e+01
9.404522613065324776e-01,1.421599999999999930e+01
9.499999999999999556e-01,1.385599999999999987e+01
